outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,77,"Yoder, J. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Yoder, J.","Hacopian, C.",T4,8,1,-,0,0,0,Ball,Fastball,84,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,1,1
1,78,"Yoder, J. VS Hacopian, C.",University of Maryland-College Park vs Georgetown University,,,00:00:09.2,,"Yoder, J.","Hacopian, C.",T4,8,1,-,0,1,0,BIP,Fastball,86,Fly Ball,Flyout,,T,1,4,University of Maryland-College Park,Georgetown University,1,1,1
1,79,"Yoder, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Yoder, J.","Hacopian, E.",T4,8,1,-,1,0,0,Ball,Fastball,86,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,2,2
1,80,"Yoder, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.2,,"Yoder, J.","Hacopian, E.",T4,8,1,-,1,1,0,Strike Taken,Fastball,86,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,2,2
1,81,"Yoder, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:01.9,,"Yoder, J.","Hacopian, E.",T4,8,1,-,1,1,1,Ball,Changeup,80,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,2,2
1,82,"Yoder, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:02.6,,"Yoder, J.","Hacopian, E.",T4,8,1,-,1,2,1,Strike Swinging,Slider,80,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,2,2
1,83,"Yoder, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:01.9,,"Yoder, J.","Hacopian, E.",T4,8,1,-,1,2,2,Ball,Slider,80,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,2,2
1,84,"Yoder, J. VS Hacopian, E.",University of Maryland-College Park vs Georgetown University,,,00:00:09.2,,"Yoder, J.","Hacopian, E.",T4,8,1,-,1,3,2,BIP,Fastball,85,Ground Ball,Single,,T,1,4,University of Maryland-College Park,Georgetown University,1,2,2
1,85,"Yoder, J. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:02.3,,"Yoder, J.","Keister, K.",T4,8,1,1B,1,0,0,Foul,Fastball,86,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,3,3
1,86,"Yoder, J. VS Keister, K.",University of Maryland-College Park vs Georgetown University,,,00:00:02.6,,"Yoder, J.","Keister, K.",T4,8,1,1B,1,0,1,Foul,Changeup,79,"","",,T,1,4,University of Maryland-College Park,Georgetown University,1,3,3
