outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,369,"Yoder, J. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:05.2,,"Yoder, J.","Brienza, A.",B8,1,0,-,0,0,0,Ball,Slider,79,"","",,B,0,8,Georgetown University,St. John's University (NY),1,1,1
1,370,"Yoder, J. VS Brienza, A.",Georgetown University vs St. John's University (NY),,,00:00:11.7,,"Yoder, J.","Brienza, A.",B8,1,0,-,0,1,0,BIP,Slider,78,Ground Ball,Field Error,,B,0,8,Georgetown University,St. John's University (NY),1,1,1
1,371,"Yoder, J. VS Tucker, J.",Georgetown University vs St. John's University (NY),,,00:00:08.6,,"Yoder, J.","Tucker, J.",B8,1,0,2B,0,0,0,BIP,Fastball,86,Bunt Ground Ball,Sacrifice Bunt,,B,0,8,Georgetown University,St. John's University (NY),1,2,2
1,372,"Yoder, J. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:05.0,,"Yoder, J.","Scavelli, G.",B8,1,0,3B,1,0,0,Strike Taken,Slider,80,"","",,B,0,8,Georgetown University,St. John's University (NY),1,3,3
1,373,"Yoder, J. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:06.3,,"Yoder, J.","Scavelli, G.",B8,1,0,3B,1,0,1,Foul,Slider,80,"","",,B,0,8,Georgetown University,St. John's University (NY),1,3,3
1,374,"Yoder, J. VS Scavelli, G.",Georgetown University vs St. John's University (NY),,,00:00:08.5,,"Yoder, J.","Scavelli, G.",B8,1,0,3B,1,0,2,Strike Swinging,Changeup,80,"","",Strikeout,B,0,8,Georgetown University,St. John's University (NY),1,3,3
1,375,"Yoder, J. VS Mayberry, B.",Georgetown University vs St. John's University (NY),,,00:00:09.9,,"Yoder, J.","Mayberry, B.",B8,1,0,3B,2,0,0,BIP,Slider,80,Ground Ball,Groundout,,B,0,8,Georgetown University,St. John's University (NY),1,4,4
2,979,"Yoder, J. VS Hendrickson, C.",Xavier University vs Georgetown University,,,00:00:05.2,,"Yoder, J.","Hendrickson, C.",T9,9,7,-,0,0,0,Ball,Slider,78,"","",,T,1,9,Xavier University,Georgetown University,7,1,1
2,980,"Yoder, J. VS Hendrickson, C.",Xavier University vs Georgetown University,,,00:00:09.5,,"Yoder, J.","Hendrickson, C.",T9,9,7,-,0,1,0,BIP,Fastball,84,Line Drive,Lineout,,T,1,9,Xavier University,Georgetown University,7,1,1
2,981,"Yoder, J. VS Deprey, M.",Xavier University vs Georgetown University,,,00:00:05.3,,"Yoder, J.","Deprey, M.",T9,9,7,-,1,0,0,Ball,Slider,77,"","",,T,1,9,Xavier University,Georgetown University,7,2,2
