outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Yoder, J. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.4,,"Yoder, J.","Hannon, K.",B4,0,5,1B,2,0,0,Ball,Fastball,86,"","",,,B,0,4,Georgetown University,Penn State University,0,1
1,2,"Yoder, J. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Hannon, K.",B4,0,5,1B,2,1,0,Strike Taken,Fastball,86,"","",,,B,0,4,Georgetown University,Penn State University,0,1
1,3,"Yoder, J. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:06.6,,"Yoder, J.","Hannon, K.",B4,0,5,1B,2,1,1,Foul,Changeup,81,"","",,,B,0,4,Georgetown University,Penn State University,0,1
1,4,"Yoder, J. VS Hannon, K.",Georgetown University vs Penn State University,,,00:00:05.4,,"Yoder, J.","Hannon, K.",B4,0,5,1B,2,1,2,Strike Swinging,Changeup,81,"","",Strikeout,,B,0,4,Georgetown University,Penn State University,0,1
1,5,"Yoder, J. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Piacentino, J.",B5,0,5, - ,0,0,0,Strike Taken,Fastball,86,"","",,,B,0,5,Georgetown University,Penn State University,0,2
1,6,"Yoder, J. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Piacentino, J.",B5,0,5, - ,0,0,1,Ball,Changeup,82,"","",,,B,0,5,Georgetown University,Penn State University,0,2
1,7,"Yoder, J. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:05.1,,"Yoder, J.","Piacentino, J.",B5,0,5, - ,0,1,1,Ball,Changeup,82,"","",,,B,0,5,Georgetown University,Penn State University,0,2
1,8,"Yoder, J. VS Piacentino, J.",Georgetown University vs Penn State University,,,00:00:09.7,,"Yoder, J.","Piacentino, J.",B5,0,5, - ,0,2,1,BIP,Fastball,86,Line Drive,Lineout,,,B,0,5,Georgetown University,Penn State University,0,2
1,9,"Yoder, J. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.1,,"Yoder, J.","Marsh, B.",B5,0,5, - ,1,0,0,Strike Taken,Fastball,87,"","",,,B,0,5,Georgetown University,Penn State University,0,3
1,10,"Yoder, J. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Marsh, B.",B5,0,5, - ,1,0,1,Strike Swinging,Changeup,82,"","",,,B,0,5,Georgetown University,Penn State University,0,3
1,11,"Yoder, J. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Marsh, B.",B5,0,5, - ,1,0,2,Ball,Changeup,82,"","",,,B,0,5,Georgetown University,Penn State University,0,3
1,12,"Yoder, J. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:06.3,,"Yoder, J.","Marsh, B.",B5,0,5, - ,1,1,2,Foul,Fastball,88,"","",,,B,0,5,Georgetown University,Penn State University,0,3
1,13,"Yoder, J. VS Marsh, B.",Georgetown University vs Penn State University,,,00:00:08.9,,"Yoder, J.","Marsh, B.",B5,0,5, - ,1,1,2,BIP,Changeup,82,Ground Ball,Groundout,,,B,0,5,Georgetown University,Penn State University,0,3
1,14,"Yoder, J. VS Gerlott, B.",Georgetown University vs Penn State University,,,00:00:13.3,,"Yoder, J.","Gerlott, B.",B5,0,5, - ,2,0,0,BIP,Changeup,81,Fly Ball,Double,,,B,0,5,Georgetown University,Penn State University,0,4
1,15,"Yoder, J. VS Steele, A.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Steele, A.",B5,0,5,2B,2,0,0,Ball,Changeup,81,"","",,,B,0,5,Georgetown University,Penn State University,0,5
1,16,"Yoder, J. VS Steele, A.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Steele, A.",B5,0,5,2B,2,1,0,Ball,Changeup,81,"","",,,B,0,5,Georgetown University,Penn State University,0,5
1,17,"Yoder, J. VS Steele, A.",Georgetown University vs Penn State University,,,00:00:05.2,,"Yoder, J.","Steele, A.",B5,0,5,2B,2,2,0,Strike Taken,Fastball,89,"","",,,B,0,5,Georgetown University,Penn State University,0,5
1,18,"Yoder, J. VS Steele, A.",Georgetown University vs Penn State University,,,00:00:05.3,,"Yoder, J.","Steele, A.",B5,0,5,2B,2,2,1,Ball,Changeup,81,"","",,,B,0,5,Georgetown University,Penn State University,0,5
