outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,179,"Yoder, J. VS Belo, B.",Georgetown University vs George Washington University,,,00:00:14.6,,"Yoder, J.","Belo, B.",B8,17,0,-,0,0,0,Foul,Fastball,88,"","",,B,0,8,Georgetown University,George Washington University,17,1,1
1,180,"Yoder, J. VS Belo, B.",Georgetown University vs George Washington University,,,00:00:13.4,,"Yoder, J.","Belo, B.",B8,17,0,-,0,0,1,BIP,Slider,82,Fly Ball,Home Run,,B,0,8,Georgetown University,George Washington University,17,1,1
1,181,"Yoder, J. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:04.4,,"Yoder, J.","Gates, S.",B8,17,1,-,0,0,0,Strike Swinging,Fastball,88,"","",,B,0,8,Georgetown University,George Washington University,17,2,2
1,182,"Yoder, J. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:05.8,,"Yoder, J.","Gates, S.",B8,17,1,-,0,0,1,Foul,Fastball,89,"","",,B,0,8,Georgetown University,George Washington University,17,2,2
1,183,"Yoder, J. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:05.7,,"Yoder, J.","Gates, S.",B8,17,1,-,0,0,2,Ball,Fastball,88,"","",,B,0,8,Georgetown University,George Washington University,17,2,2
1,184,"Yoder, J. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:05.8,,"Yoder, J.","Gates, S.",B8,17,1,-,0,1,2,Ball,Changeup,81,"","",,B,0,8,Georgetown University,George Washington University,17,2,2
1,185,"Yoder, J. VS Gates, S.",Georgetown University vs George Washington University,,,00:00:05.8,,"Yoder, J.","Gates, S.",B8,17,1,-,0,2,2,Strike Swinging,Changeup,81,"","",Strikeout,B,0,8,Georgetown University,George Washington University,17,2,2
1,186,"Yoder, J. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:06.1,,"Yoder, J.","DiTomaso, S.",B8,17,1,-,1,0,0,Strike Swinging,Slider,82,"","",,B,0,8,Georgetown University,George Washington University,17,3,3
1,187,"Yoder, J. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:05.8,,"Yoder, J.","DiTomaso, S.",B8,17,1,-,1,0,1,Strike Swinging,Slider,82,"","",,B,0,8,Georgetown University,George Washington University,17,3,3
1,188,"Yoder, J. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:09.0,,"Yoder, J.","DiTomaso, S.",B8,17,1,-,1,0,2,BIP,Fastball,89,Ground Ball,Field Error,,B,0,8,Georgetown University,George Washington University,17,3,3
1,189,"Yoder, J. VS Micheletti Jr., E.",Georgetown University vs George Washington University,,,00:00:04.3,,"Yoder, J.","Micheletti Jr., E.",B8,17,1,1B,1,0,0,Foul,Fastball,88,"","",,B,0,8,Georgetown University,George Washington University,17,4,4
