outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,163,"Yoder, J. VS Meggs, A.",Creighton University vs Georgetown University,,,00:00:05.1,,"Yoder, J.","Meggs, A.",T6,3,4, - ,1,0,0,Strike Taken,Cutter,83,"","",,T,1,6,Creighton University,Georgetown University,4,1,1
1,164,"Yoder, J. VS Meggs, A.",Creighton University vs Georgetown University,,,00:00:08.6,,"Yoder, J.","Meggs, A.",T6,3,4, - ,1,0,1,BIP,Fastball,86,Ground Ball,Single,,T,1,6,Creighton University,Georgetown University,4,1,1
1,165,"Yoder, J. VS Clifford, N.",Creighton University vs Georgetown University,,,00:00:05.9,,"Yoder, J.","Clifford, N.",T6,3,4,1B,1,0,0,Ball,Changeup,79,"","",,T,1,6,Creighton University,Georgetown University,4,2,2
1,166,"Yoder, J. VS Clifford, N.",Creighton University vs Georgetown University,,,00:00:05.0,,"Yoder, J.","Clifford, N.",T6,3,4,1B,1,1,0,Strike Taken,Changeup,81,"","",,T,1,6,Creighton University,Georgetown University,4,2,2
1,167,"Yoder, J. VS Clifford, N.",Creighton University vs Georgetown University,,,00:00:09.3,,"Yoder, J.","Clifford, N.",T6,3,4,1B,1,1,1,BIP,Changeup,79,Ground Ball,Grounded Into Double Play,,T,1,6,Creighton University,Georgetown University,4,2,2
2,658,"Yoder, J. VS Petrutz, I.",Georgetown University vs University of Maryland-College Park,,,00:00:12.6,,"Yoder, J.","Petrutz, I.",B7,8,5, - ,0,0,0,BIP,Fastball,0,Fly Ball,Flyout,,B,0,7,Georgetown University,University of Maryland-College Park,8,1,1
2,659,"Yoder, J. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Yoder, J.","Zmarzlak, B.",B7,8,5, - ,1,0,0,Strike Taken,Fastball,0,"","",,B,0,7,Georgetown University,University of Maryland-College Park,8,2,2
2,660,"Yoder, J. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.1,,"Yoder, J.","Zmarzlak, B.",B7,8,5, - ,1,0,1,Ball,Fastball,0,"","",,B,0,7,Georgetown University,University of Maryland-College Park,8,2,2
2,661,"Yoder, J. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.2,,"Yoder, J.","Zmarzlak, B.",B7,8,5, - ,1,1,1,Strike Swinging,Slider,0,"","",,B,0,7,Georgetown University,University of Maryland-College Park,8,2,2
2,662,"Yoder, J. VS Zmarzlak, B.",Georgetown University vs University of Maryland-College Park,,,00:00:05.3,,"Yoder, J.","Zmarzlak, B.",B7,8,5, - ,1,1,2,Foul,Fastball,0,"","",,B,0,7,Georgetown University,University of Maryland-College Park,8,2,2
