outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,pa_id
1,1,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:02.1,,"Tonas, A.","Walker, A.",B3,0-2, - ,0,0,0,Strike Taken,Fastball,86,"","",,,B,0,3,1
1,2,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:03.0,,"Tonas, A.","Walker, A.",B3,0-2, - ,0,0,1,Ball,Fastball,86,"","",,,B,0,3,1
1,3,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:03.4,,"Tonas, A.","Walker, A.",B3,0-2, - ,0,1,1,Ball,Fastball,86,"","",,,B,0,3,1
1,4,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:09.6,,"Tonas, A.","Walker, A.",B3,0-2, - ,0,2,1,BIP,Fastball,84,Ground Ball,Groundout,,,B,0,3,1
1,5,"Tonas, A. VS Monastra, N.",Georgetown University vs Xavier University,,,00:00:02.4,,"Tonas, A.","Monastra, N.",B3,0-2, - ,1,0,0,Ball,Fastball,84,"","",,,B,0,3,2
1,6,"Tonas, A. VS Monastra, N.",Georgetown University vs Xavier University,,,00:00:13.0,,"Tonas, A.","Monastra, N.",B3,0-2, - ,1,1,0,BIP,Fastball,87,Fly Ball,Home Run,,,B,0,3,2
1,7,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:02.3,,"Tonas, A.","Schultz, G.",B3,0-3, - ,1,0,0,Strike Taken,Slider,75,"","",,,B,0,3,3
1,8,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:03.5,,"Tonas, A.","Schultz, G.",B3,0-3, - ,1,0,1,Ball,Fastball,86,"","",,,B,0,3,3
1,9,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:02.7,,"Tonas, A.","Schultz, G.",B3,0-3, - ,1,1,1,Strike Taken,Changeup,79,"","",,,B,0,3,3
1,10,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:03.3,,"Tonas, A.","Schultz, G.",B3,0-3, - ,1,1,2,Ball,Changeup,79,"","",,,B,0,3,3
1,11,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:02.6,,"Tonas, A.","Schultz, G.",B3,0-3, - ,1,2,2,Foul,Fastball,84,"","",,,B,0,3,3
1,12,"Tonas, A. VS Schultz, G.",Georgetown University vs Xavier University,,,00:00:05.8,,"Tonas, A.","Schultz, G.",B3,0-3, - ,1,2,2,Ball,Fastball,86,"","",Hit By Pitch,,B,0,3,3
1,13,"Tonas, A. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:07.7,,"Tonas, A.","Helmin, A.",B3,0-3,1B,1,0,0,Strike Taken,Slider,75,"","",,,B,0,3,4
1,14,"Tonas, A. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:03.5,,"Tonas, A.","Helmin, A.",B3,0-3,2B,1,0,1,Ball,Changeup,77,"","",,,B,0,3,4
1,15,"Tonas, A. VS Helmin, A.",Georgetown University vs Xavier University,,,00:00:08.7,,"Tonas, A.","Helmin, A.",B3,0-3,2B,1,1,1,BIP,Changeup,79,Ground Ball,Groundout,,,B,0,3,4
1,16,"Tonas, A. VS DeMartino, T.",Georgetown University vs Xavier University,,,00:00:04.2,,"Tonas, A.","DeMartino, T.",B3,0-3,2B,2,0,0,Foul,Fastball,86,"","",,,B,0,3,5
