outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,pa_id
1,1,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Cook, B.",T9,7-9,-,0,0,0,Strike Taken,Fastball,0,,,,T,1,9,1
1,2,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,10,,"Tonas, A.","Cook, B.",T9,7-9,-,0,0,1,BIP,Fastball,0,Fly Ball,Flyout,,T,1,9,1
1,3,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Morris, Z.",T9,7-9,-,1,0,0,Ball,Slider,0,,,,T,1,9,2
1,4,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Morris, Z.",T9,7-9,-,1,1,0,Ball,Slider,0,,,,T,1,9,2
1,5,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Morris, Z.",T9,7-9,-,1,2,0,Strike Taken,Fastball,0,,,,T,1,9,2
1,6,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Morris, Z.",T9,7-9,-,1,2,1,Foul,Slider,0,,,,T,1,9,2
1,7,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,9,,"Tonas, A.","Morris, Z.",T9,7-9,-,1,2,2,BIP,Fastball,0,Ground Ball,Groundout,,T,1,9,2
1,8,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Whitmore, R.",T9,7-9,-,2,0,0,Strike Taken,Fastball,0,,,,T,1,9,3
1,9,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Whitmore, R.",T9,7-9,-,2,0,1,Ball,Changeup,0,,,,T,1,9,3
1,10,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Whitmore, R.",T9,7-9,-,2,1,1,Ball,Slider,0,,,,T,1,9,3
1,11,"Tonas, A. VS Whitmore, R.",Virginia Military Institute vs Georgetown University,,,14,,"Tonas, A.","Whitmore, R.",T9,7-9,-,2,2,1,BIP,Fastball,0,Fly Ball,Double,,T,1,9,3
1,12,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Jenkins, C.",T9,7-9,2B,2,0,0,Strike Swinging,Fastball,0,,,,T,1,9,4
1,13,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Jenkins, C.",T9,7-9,2B,2,0,1,Foul,Changeup,0,,,,T,1,9,4
1,14,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Jenkins, C.",T9,7-9,2B,2,0,2,Ball,Slider,0,,,,T,1,9,4
1,15,"Tonas, A. VS Jenkins, C.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Jenkins, C.",T9,7-9,2B,2,1,2,Strike Swinging,Slider,0,,,Strikeout,T,1,9,4
1,16,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Cook, B.",T9,5-9,-,0,0,0,Ball,Fastball,86,,,,T,1,9,5
1,17,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Cook, B.",T9,5-9,-,0,1,0,Ball,Fastball,86,,,,T,1,9,5
1,18,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,4,,"Tonas, A.","Cook, B.",T9,5-9,-,0,2,0,Strike Swinging,Fastball,88,,,,T,1,9,5
1,19,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,6,,"Tonas, A.","Cook, B.",T9,5-9,-,0,2,1,Ball,Fastball,86,,,,T,1,9,5
1,20,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,9,,"Tonas, A.","Cook, B.",T9,5-9,-,0,3,1,BIP,Fastball,87,Fly Ball,Flyout,,T,1,9,5
1,21,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Starke, J.",T9,5-9,-,1,0,0,Strike Taken,Slider,77,,,,T,1,9,6
1,22,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,6,,"Tonas, A.","Starke, J.",T9,5-9,-,1,0,1,Strike Swinging,Slider,77,,,,T,1,9,6
1,23,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,4,,"Tonas, A.","Starke, J.",T9,5-9,-,1,0,2,Ball,Fastball,86,,,,T,1,9,6
1,24,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,6,,"Tonas, A.","Starke, J.",T9,5-9,-,1,1,2,Ball,Slider,76,,,,T,1,9,6
1,25,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Starke, J.",T9,5-9,-,1,2,2,Foul,Slider,77,,,,T,1,9,6
1,26,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Starke, J.",T9,5-9,-,1,2,2,Strike Swinging,Slider,77,,,Strikeout,T,1,9,6
1,27,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,4,,"Tonas, A.","Knight, W.",T9,5-9,-,2,0,0,Strike Taken,Fastball,86,,,,T,1,9,7
1,28,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,4,,"Tonas, A.","Knight, W.",T9,5-9,-,2,0,1,Ball,Fastball,87,,,,T,1,9,7
1,29,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Knight, W.",T9,5-9,-,2,1,1,Ball,Slider,77,,,,T,1,9,7
1,30,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Knight, W.",T9,5-9,-,2,2,1,Ball,Fastball,86,,,,T,1,9,7
1,31,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,13,,"Tonas, A.","Knight, W.",T9,5-9,-,2,3,1,BIP,Fastball,86,Fly Ball,Double,,T,1,9,7
1,32,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Morris, Z.",T9,5-9,2B,2,0,0,Foul,Slider,77,,,,T,1,9,8
1,33,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,10,,"Tonas, A.","Morris, Z.",T9,5-9,2B,2,0,1,BIP,Changeup,80,Ground Ball,Groundout,,T,1,9,8
2,34,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,1B,0,0,0,Strike Taken,Fastball,0,,,,B,0,9,1
2,35,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,1B,0,0,1,Ball,Fastball,0,,,,B,0,9,1
2,36,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,7,,"Tonas, A.","Dykstra, C.",B9,5-3,1B,0,1,1,Ball,Fastball,0,,,,B,0,9,1
2,37,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,1,Strike Taken,Changeup,0,,,,B,0,9,1
2,38,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,2,Foul,Changeup,0,,,,B,0,9,1
2,39,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,2,Foul,Fastball,0,,,,B,0,9,1
2,40,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,2,Ball,Fastball,0,,,,B,0,9,1
2,41,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,6,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,3,2,Ball,Fastball,0,,,Walk,B,0,9,1
2,42,"Tonas, A. VS Stallings, B.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Stallings, B.",B9,5-3,1B-3B,0,0,0,Strike Taken,Fastball,0,,,,B,0,9,2
